date,close
2015-06-02,0.38411300000000004
2015-06-03,0.39059499999999997
2015-06-04,0.38457399999999997
2015-06-05,0.380758
2015-06-06,0.41016099999999994
2015-06-07,0.391365
2015-06-08,0.40925500000000004
2015-06-09,0.43932200000000005
2015-06-10,0.44020600000000004
2015-06-11,0.422037
2015-06-12,0.424617
2015-06-13,0.449896
2015-06-14,0.474645
2015-06-15,0.444826
2015-06-16,0.573468
2015-06-17,0.5693199999999999
2015-06-18,0.607082
2015-06-19,0.54575
2015-06-20,0.55689
2015-06-21,0.55675
2015-06-22,0.598266
2015-06-23,0.600643
2015-06-24,0.596539
2015-06-25,0.59685
2015-06-26,0.572248
2015-06-27,0.600817
2015-06-28,0.608817
2015-06-29,0.703601
2015-06-30,1.08
2015-07-01,0.9504600000000001
2015-07-02,0.983991
2015-07-03,0.9928819999999999
2015-07-04,1.02
2015-07-05,1.05
2015-07-06,1.09
2015-07-07,0.9841110000000001
2015-07-08,1.06
2015-07-09,1.82
2015-07-10,1.38
2015-07-11,1.39
2015-07-12,1.54
2015-07-13,1.38
2015-07-14,1.42
2015-07-15,1.28
2015-07-16,1.17
2015-07-17,1.41
2015-07-18,1.33
2015-07-19,1.26
2015-07-20,1.33
2015-07-21,1.28
2015-07-22,1.27
2015-07-23,1.26
2015-07-24,1.42
2015-07-25,1.37
2015-07-26,1.38
2015-07-27,1.38
2015-07-28,1.5
2015-07-29,1.43
2015-07-30,1.35
2015-07-31,1.37
2015-08-01,1.28
2015-08-02,1.31
2015-08-03,1.31
2015-08-04,1.3
2015-08-05,1.29
2015-08-06,1.24
2015-08-07,1.32
2015-08-08,1.23
2015-08-09,1.22
2015-08-10,1.21
2015-08-11,1.24
2015-08-12,1.23
2015-08-13,1.21
2015-08-14,1.28
2015-08-15,1.28
2015-08-16,1.26
2015-08-17,1.22
2015-08-18,1.05
2015-08-19,1.02
2015-08-20,1.11
2015-08-21,1.09
2015-08-22,1.07
2015-08-23,1.05
2015-08-24,0.9441790000000001
2015-08-25,0.997394
2015-08-26,1.0
2015-08-27,0.9987209999999999
2015-08-28,1.02
2015-08-29,1.01
2015-08-30,0.984225
2015-08-31,1.01
2015-09-01,0.986683
2015-09-02,0.9653719999999999
2015-09-03,0.941261
2015-09-04,0.966773
2015-09-05,1.03
2015-09-06,1.06
2015-09-07,1.15
2015-09-08,1.23
2015-09-09,1.15
2015-09-10,1.14
2015-09-11,1.13
2015-09-12,1.09
2015-09-13,1.06
2015-09-14,1.02
2015-09-15,1.0
2015-09-16,0.9602719999999999
2015-09-17,0.9918530000000001
2015-09-18,1.02
2015-09-19,1.0
2015-09-20,0.984518
2015-09-21,1.0
2015-09-22,0.9824450000000001
2015-09-23,0.996991
2015-09-24,0.9984280000000001
2015-09-25,0.9997540000000001
2015-09-26,0.9971
2015-09-27,0.981713
2015-09-28,1.01
2015-09-29,1.01
2015-09-30,0.997858
2015-10-01,1.0
2015-10-02,0.983251
2015-10-03,0.993223
2015-10-04,0.990331
2015-10-05,0.984239
2015-10-06,1.01
2015-10-07,0.99082
2015-10-08,0.994534
2015-10-09,0.991611
2015-10-10,0.991238
2015-10-11,0.994015
2015-10-12,0.968569
2015-10-13,0.9817739999999999
2015-10-14,0.9789680000000001
2015-10-15,0.961356
2015-10-16,0.964942
2015-10-17,0.949607
2015-10-18,0.9379139999999999
2015-10-19,0.928481
2015-10-20,0.9333959999999999
2015-10-21,0.9007
2015-10-22,0.9101020000000001
2015-10-23,0.900466
2015-10-24,0.8764870000000001
2015-10-25,0.887381
2015-10-26,0.828206
2015-10-27,0.8275309999999999
2015-10-28,0.856641
2015-10-29,1.07
2015-10-30,1.05
2015-10-31,0.9971709999999999
2015-11-01,1.0
2015-11-02,1.06
2015-11-03,1.16
2015-11-04,1.15
2015-11-05,1.1
2015-11-06,1.02
2015-11-07,1.04
2015-11-08,1.0
2015-11-09,1.0
2015-11-10,0.9260510000000001
2015-11-11,0.9000030000000001
2015-11-12,0.9418719999999999
2015-11-13,0.9547370000000001
2015-11-14,0.940628
2015-11-15,0.888227
2015-11-16,0.928243
2015-11-17,0.9449069999999999
2015-11-18,0.925542
2015-11-19,0.911941
2015-11-20,0.8769889999999999
2015-11-21,0.88979
2015-11-22,0.8883409999999999
2015-11-23,0.87764
2015-11-24,0.8744709999999999
2015-11-25,0.917234
2015-11-26,0.971826
2015-11-27,0.956259
2015-11-28,0.92975
2015-11-29,0.976993
2015-11-30,0.952197
2015-12-01,0.89679
2015-12-02,0.8944850000000001
2015-12-03,0.930366
2015-12-04,0.918075
2015-12-05,0.9468270000000001
2015-12-06,0.946284
2015-12-07,0.929192
2015-12-08,0.945825
2015-12-09,0.9208790000000001
2015-12-10,0.927365
2015-12-11,0.9564940000000001
2015-12-12,0.936485
2015-12-13,0.940507
2015-12-14,0.956672
2015-12-15,0.942157
2015-12-16,0.8823469999999999
2015-12-17,1.0
2015-12-18,0.911316
2015-12-19,0.957498
2015-12-20,0.9141469999999999
2015-12-21,0.89945
2015-12-22,0.839131
2015-12-23,0.9128350000000001
2015-12-24,0.9290790000000001
2015-12-25,0.9713459999999999
2015-12-26,0.890476
2015-12-27,0.9090450000000001
2015-12-28,0.871309
2015-12-29,0.900516
2015-12-30,0.895093
2015-12-31,0.8774879999999999
2016-01-01,0.918141
2016-01-02,0.908344
2016-01-03,0.922916
2016-01-04,0.898531
2016-01-05,0.8873719999999999
2016-01-06,0.8868290000000001
2016-01-07,0.9310309999999999
2016-01-08,0.9301450000000001
2016-01-09,0.918092
2016-01-10,0.901943
2016-01-11,0.910367
2016-01-12,0.894703
2016-01-13,0.882717
2016-01-14,0.90174
2016-01-15,0.815645
2016-01-16,0.773313
2016-01-17,0.7798609999999999
2016-01-18,0.789339
2016-01-19,0.7902319999999999
2016-01-20,0.832317
2016-01-21,0.781251
2016-01-22,0.757234
2016-01-23,0.760627
2016-01-24,0.720295
2016-01-25,0.72712
2016-01-26,0.72765
2016-01-27,0.799615
2016-01-28,0.733379
2016-01-29,0.688854
2016-01-30,0.716075
2016-01-31,0.709609
2016-02-01,0.701298
2016-02-02,0.7016180000000001
2016-02-03,0.70039
2016-02-04,0.722572
2016-02-05,0.7246819999999999
2016-02-06,0.7260840000000001
2016-02-07,0.6901149999999999
2016-02-08,0.699554
2016-02-09,0.687951
2016-02-10,0.68804
2016-02-11,0.688574
2016-02-12,0.688663
2016-02-13,0.708041
2016-02-14,0.782428
2016-02-15,0.7850060000000001
2016-02-16,0.99015
2016-02-17,0.983139
2016-02-18,0.9505459999999999
2016-02-19,0.929132
2016-02-20,1.06
2016-02-21,1.03
2016-02-22,1.01
2016-02-23,0.967577
2016-02-24,0.9658969999999999
2016-02-25,0.9247
2016-02-26,0.946363
2016-02-27,1.02
2016-02-28,1.01
2016-02-29,0.9954069999999999
2016-03-01,0.954081
2016-03-02,0.9409700000000001
2016-03-03,0.935617
2016-03-04,0.902193
2016-03-05,0.8768
2016-03-06,0.884015
2016-03-07,0.908033
2016-03-08,0.913056
2016-03-09,1.0
2016-03-10,0.9466110000000001
2016-03-11,0.951559
2016-03-12,0.933665
2016-03-13,0.948965
2016-03-14,0.94762
2016-03-15,0.923825
2016-03-16,0.909697
2016-03-17,0.884948
2016-03-18,0.8890290000000001
2016-03-19,0.895058
2016-03-20,0.889856
2016-03-21,0.8906930000000001
2016-03-22,0.8962479999999999
2016-03-23,0.898166
2016-03-24,0.88223
2016-03-25,0.864899
2016-03-26,0.8638709999999999
2016-03-27,0.8862209999999999
2016-03-28,0.866609
2016-03-29,0.8628549999999999
2016-03-30,0.855035
2016-03-31,0.8599549999999999
2016-04-01,0.858324
2016-04-02,0.839309
2016-04-03,0.827842
2016-04-04,0.8111119999999999
2016-04-05,0.848375
2016-04-06,0.8498950000000001
2016-04-07,0.829656
2016-04-08,0.80805
2016-04-09,0.806775
2016-04-10,0.787065
2016-04-11,0.784112
2016-04-12,0.8174779999999999
2016-04-13,0.767291
2016-04-14,0.749019
2016-04-15,0.716679
2016-04-16,0.715619
2016-04-17,0.717043
2016-04-18,0.730734
2016-04-19,0.726996
2016-04-20,0.741635
2016-04-21,0.743626
2016-04-22,0.735053
2016-04-23,0.754255
2016-04-24,0.8284389999999999
2016-04-25,0.9441209999999999
2016-04-26,0.9318190000000001
2016-04-27,0.839532
2016-04-28,0.850266
2016-04-29,0.8342209999999999
2016-04-30,0.808296
2016-05-01,0.809888
2016-05-02,0.7631220000000001
2016-05-03,0.771763
2016-05-04,0.781278
2016-05-05,0.778105
2016-05-06,0.795246
2016-05-07,0.8503040000000001
2016-05-08,0.8267209999999999
2016-05-09,0.8253450000000001
2016-05-10,0.817839
2016-05-11,0.784184
2016-05-12,0.8338530000000001
2016-05-13,0.843982
2016-05-14,0.8704270000000001
2016-05-15,0.844118
2016-05-16,0.827521
2016-05-17,0.777965
2016-05-18,0.768137
2016-05-19,0.69452
2016-05-20,0.7396510000000001
2016-05-21,0.7196670000000001
2016-05-22,0.738247
2016-05-23,0.733739
2016-05-24,0.733997
2016-05-25,0.755545
2016-05-26,0.74556
2016-05-27,0.783267
2016-05-28,0.7833720000000001
2016-05-29,0.751814
2016-05-30,0.720828
2016-05-31,0.72816
2016-06-01,0.733433
2016-06-02,0.720334
2016-06-03,0.736589
2016-06-04,0.738444
2016-06-05,0.7369600000000001
2016-06-06,0.779414
2016-06-07,0.752214
2016-06-08,0.7274470000000001
2016-06-09,0.747414
2016-06-10,0.740509
2016-06-11,0.7499060000000001
2016-06-12,0.760383
2016-06-13,0.772647
2016-06-14,0.759057
2016-06-15,0.754499
